 frequency       v(VOUT1)        v(VOUT1)       
 1.00000000e+00 -6.45104491e-02  5.48534410e-09 
 1.25892541e+00 -6.45104491e-02  6.90563908e-09 
 1.58489319e+00 -6.45104491e-02  8.69368453e-09 
 1.99526231e+00 -6.45104491e-02  1.09447004e-08 
 2.51188643e+00 -6.45104491e-02  1.37785614e-08 
 3.16227766e+00 -6.45104491e-02  1.73461811e-08 
 3.98107171e+00 -6.45104491e-02  2.18375482e-08 
 5.01187234e+00 -6.45104491e-02  2.74918444e-08 
 6.30957344e+00 -6.45104491e-02  3.46101815e-08 
 7.94328235e+00 -6.45104491e-02  4.35716370e-08 
 1.00000000e+01 -6.45104491e-02  5.48534410e-08 
 1.25892541e+01 -6.45104491e-02  6.90563908e-08 
 1.58489319e+01 -6.45104491e-02  8.69368453e-08 
 1.99526231e+01 -6.45104491e-02  1.09447004e-07 
 2.51188643e+01 -6.45104491e-02  1.37785614e-07 
 3.16227766e+01 -6.45104491e-02  1.73461811e-07 
 3.98107171e+01 -6.45104491e-02  2.18375482e-07 
 5.01187234e+01 -6.45104491e-02  2.74918444e-07 
 6.30957344e+01 -6.45104491e-02  3.46101815e-07 
 7.94328235e+01 -6.45104491e-02  4.35716370e-07 
 1.00000000e+02 -6.45104491e-02  5.48534410e-07 
 1.25892541e+02 -6.45104491e-02  6.90563908e-07 
 1.58489319e+02 -6.45104491e-02  8.69368453e-07 
 1.99526231e+02 -6.45104491e-02  1.09447004e-06 
 2.51188643e+02 -6.45104491e-02  1.37785614e-06 
 3.16227766e+02 -6.45104491e-02  1.73461811e-06 
 3.98107171e+02 -6.45104491e-02  2.18375482e-06 
 5.01187234e+02 -6.45104490e-02  2.74918443e-06 
 6.30957344e+02 -6.45104490e-02  3.46101814e-06 
 7.94328235e+02 -6.45104489e-02  4.35716369e-06 
 1.00000000e+03 -6.45104487e-02  5.48534408e-06 
 1.25892541e+03 -6.45104485e-02  6.90563904e-06 
 1.58489319e+03 -6.45104482e-02  8.69368443e-06 
 1.99526231e+03 -6.45104476e-02  1.09447002e-05 
 2.51188643e+03 -6.45104468e-02  1.37785610e-05 
 3.16227766e+03 -6.45104454e-02  1.73461804e-05 
 3.98107171e+03 -6.45104432e-02  2.18375467e-05 
 5.01187234e+03 -6.45104398e-02  2.74918413e-05 
 6.30957344e+03 -6.45104343e-02  3.46101754e-05 
 7.94328235e+03 -6.45104257e-02  4.35716249e-05 
 1.00000000e+04 -6.45104120e-02  5.48534169e-05 
 1.25892541e+04 -6.45103902e-02  6.90563427e-05 
 1.58489319e+04 -6.45103558e-02  8.69367492e-05 
 1.99526231e+04 -6.45103012e-02  1.09446812e-04 
 2.51188643e+04 -6.45102147e-02  1.37785232e-04 
 3.16227766e+04 -6.45100776e-02  1.73461048e-04 
 3.98107171e+04 -6.45098603e-02  2.18373959e-04 
 5.01187234e+04 -6.45095158e-02  2.74915405e-04 
 6.30957344e+04 -6.45089700e-02  3.46095752e-04 
 7.94328235e+04 -6.45081049e-02  4.35704273e-04 
 1.00000000e+05 -6.45067338e-02  5.48510274e-04 
 1.25892541e+05 -6.45045608e-02  6.90515752e-04 
 1.58489319e+05 -6.45011172e-02  8.69272371e-04 
 1.99526231e+05 -6.44956599e-02  1.09427834e-03 
 2.51188643e+05 -6.44870121e-02  1.37747369e-03 
 3.16227766e+05 -6.44733097e-02  1.73385514e-03 
 3.98107171e+05 -6.44516015e-02  2.18223287e-03 
 5.01187234e+05 -6.44172181e-02  2.74614891e-03 
 6.30957344e+05 -6.43627785e-02  3.45496514e-03 
 7.94328235e+05 -6.42766344e-02  4.34509797e-03 
 1.00000000e+06 -6.41404474e-02  5.46130641e-03 
 1.25892541e+06 -6.39254612e-02  6.85779287e-03 
 1.58489319e+06 -6.35868638e-02  8.59858112e-03 
 1.99526231e+06 -6.30555156e-02  1.07560788e-02 
 2.51188643e+06 -6.22264269e-02  1.34057453e-02 
 3.16227766e+06 -6.09441964e-02  1.66132223e-02 
 3.98107171e+06 -5.89881713e-02  2.04083207e-02 
 5.01187234e+06 -5.60659607e-02  2.47392686e-02 
 6.30957344e+06 -5.18341623e-02  2.94048720e-02 
 7.94328235e+06 -4.59756186e-02  3.39798948e-02 
 1.00000000e+07 -3.83551160e-02  3.77854683e-02 
 1.25892541e+07 -2.92196337e-02  3.99897368e-02 
 1.58489319e+07 -1.93103815e-02  3.98835163e-02 
 1.99526231e+07 -9.72700719e-03  3.72168999e-02 
 2.51188643e+07 -1.55815748e-03  3.23506352e-02 
 3.16227766e+07  4.47717986e-03  2.60996511e-02 
 3.98107171e+07  8.15951685e-03  1.94181288e-02 
 5.01187234e+07  9.69041232e-03  1.31455044e-02 
 6.30957344e+07  9.54691394e-03  7.87771922e-03 
 7.94328235e+07  8.33823195e-03  3.91438874e-03 
 1.00000000e+08  6.65979431e-03  1.26012948e-03 
 1.25892541e+08  4.96509139e-03 -3.01214083e-04 
 1.58489319e+08  3.50924821e-03 -1.07978430e-03 
 1.99526231e+08  2.37720521e-03 -1.36701023e-03 
 2.51188643e+08  1.55220464e-03 -1.38091790e-03 
 3.16227766e+08  9.76506558e-04 -1.26221011e-03 
 3.98107171e+08  5.86698515e-04 -1.09270493e-03 
 5.01187234e+08  3.28393206e-04 -9.15884217e-04 
 6.30957344e+08  1.59873758e-04 -7.52407615e-04 
 7.94328235e+08  5.11412199e-05 -6.10244425e-04 
 1.00000000e+09 -1.84797777e-05 -4.90816889e-04 
 1.25892541e+09 -6.28273947e-05 -3.92508617e-04 
 1.58489319e+09 -9.09786936e-05 -3.12545262e-04 
 1.99526231e+09 -1.08806997e-04 -2.47930301e-04 
 2.51188643e+09 -1.20078110e-04 -1.95864601e-04 
 3.16227766e+09 -1.27191680e-04 -1.53900264e-04 
 3.98107171e+09 -1.31669842e-04 -1.19966367e-04 
 5.01187234e+09 -1.34473873e-04 -9.23383534e-05 
 6.30957344e+09 -1.36206892e-04 -6.95866364e-05 
 7.94328235e+09 -1.37242114e-04 -5.05210115e-05 
 1.00000000e+10 -1.37802635e-04 -3.41378522e-05 
